10000 10000
1 40106851 351936755
1 992458805 749649386
1 251948480 807835123
1 873916076 266827499
1 380961762 175582227
1 975679728 857038582
1 922635445 901992775
1 477002441 216550214
1 675717658 893152670
1 473094908 114636140
1 252418540 911177533
1 944319662 276407904
1 989162912 190150557
1 771968856 177346196
1 767606082 221152645
1 950939706 663316346
1 290368563 141592357
1 290474042 559872841
1 622205128 303709053
1 459221962 87288016
1 194098200 973766185
1 308183715 60625088
1 575176210 162666323
1 22133695 279319512
1 11923362 118439472
1 377365426 861505191
1 639941470 898182114
1 342849850 371782627
1 221493079 837997080
1 109815630 775819215
1 467233378 236665545
1 685040791 820742770
1 289124594 354536775
1 427158974 223044097
1 381757784 669422099
1 815575421 135465593
1 630057917 934526240
1 226964202 449364520
1 373623139 241913345
1 694957243 130310715
2 92611762 393218437
1 988042112 680217780
1 816089110 31618381
1 935758752 67576461
1 66902991 97600934
1 569941377 227657619
1 718772682 609930577
1 349248244 742429657
1 5040155 396496361
1 714584551 293994633
1 919739040 259732752
1 824467275 49979059
1 345034674 791919018
1 34849910 606885386
1 17945711 758832775
1 12637091 376664540
1 302941484 646773129
1 758992539 127718371
1 364545119 138970142
1 207493583 978690400
1 366050574 464327141
1 219000554 102823767
1 356612794 111853628
1 234593287 29398717
1 447593359 66369272
1 514434379 329445031
1 487125629 705762817
1 96715037 991989727
1 489257489 28711838
1 733472749 713337241
1 52516632 31255107
1 380741774 418706136
1 24506551 712226080
1 782208063 823511554
1 2161574 615330797
1 29531409 265668606
1 744440274 360936274
1 613669317 723737925
1 132431894 428257675
1 697577726 75611909
1 881131024 121890656
1 613234475 857799372
1 136315924 844166966
1 448120513 129290540
1 723574247 705454946
1 497135553 645852441
1 501458326 77232832
1 385785204 638793335
1 787045501 521953434
1 784382030 854152924
1 78346498 155094853
1 127078963 217386023
1 678957919 310623053
1 725629354 92921365
1 768117395 17834226
1 992044124 15535338
1 304390178 579674492
1 118180808 635445159
1 505692241 222198239
1 905605303 84699810
1 39849443 320647793
1 304325874 291895742
1 582157718 389270694
1 166892324 345646486
2 532356636 901107850
1 3828399 712371161
1 835925367 352603073
1 983697025 666784569
1 111152396 620525260
1 402359300 26750697
1 105241184 55032938
1 17646792 822847014
1 740742678 699487487
1 876474971 117481402
1 114612558 430947
1 750600608 818454756
1 950607392 727587311
1 531457028 606760301
1 149868637 991347775
1 604847768 281830456
1 747235506 95760264
1 991561729 704878583
1 540409824 752547383
1 807270085 134120496
1 449201121 111200020
1 58595720 709229223
1 601115906 191956654
1 781744219 263114965
1 431583129 210868115
1 938490760 94299752
1 186533869 896095310
1 399498789 342266201
1 384121680 597232878
1 671810545 443792467
1 81857370 32778441
1 348450668 15450285
1 984079617 654557372
1 147854029 344085824
1 473259840 946186039
1 900887829 107525584
1 48320397 165072391
1 727589244 820537890
1 296912477 603488958
1 819585212 601524804
1 804399786 137645437
1 18220305 78966839
1 342284658 462535271
1 42689177 10438319
1 151822244 258860850
1 694420813 349961224
1 731937901 893972091
1 99213842 832711000
1 527530103 385946305
1 955402728 718420877
1 250082402 509433235
1 15451675 436737594
1 551676511 340216278
1 807293874 179437150
1 72063559 577416361
1 229313116 479877894
1 930001598 943853298
